Timestamp_UTC,Latitude_ddeg,Longitude_ddeg,Elevation_m,Battery_Voltage_volts,Train_Box_Temperature_degC,Train_Top_Relative_Humidity_%,Train_Top_Temperature_degC,ES642_PM2.5_Concentration_ug/m3,ES642_Air_Flow_Rate_L/min,ES642_Internal_Air_Temperature_degC,ES642_Internal_Relative_Humidity_%,ES642_Internal_Air_Pressure_hpa,ES642_Error_Code_code,2B_Ozone_Concentration_ppbv,2B_Air_Flow_Rate_L/min,2B_Internal_Air_Temperature_degC,2B_Internal_Air_Pressure_hpa,PM2.5_Data_Flagged_binary,Ozone_Data_Flagged_binary,Time_Tuple,Date,Year,Month,Day_of_Year,Day_of_Month,Minute,Hour,Transit_ID,AQI,PM2.5_Category,Meso_West_Category
2022-05-26 04:24:52,40.723293,-111.921844,1291.5,13.5,25.16,21.75,19.96,2.0,2.0,18.0,18.0,872.6,0.0,16.2,2.33,33.9,826.1,0,0,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=26, tm_hour=4, tm_min=24, tm_sec=52, tm_wday=3, tm_yday=146, tm_isdst=-1)",2022-05-26,2022,5,146,26,24,4,TRX01,Good,< 12.00,2.00 - 4.00
2022-05-26 04:25:52,40.723293,-111.921844,1291.4,13.5,25.13,22.59,19.96,2.0,2.0,18.0,18.0,872.6,0.0,18.9,2.34,33.9,826.1,0,0,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=26, tm_hour=4, tm_min=25, tm_sec=52, tm_wday=3, tm_yday=146, tm_isdst=-1)",2022-05-26,2022,5,146,26,25,4,TRX01,Good,< 12.00,2.00 - 4.00
2022-05-26 04:26:52,40.723293,-111.921844,1291.5,13.49,25.1,22.19,19.79,3.0,2.0,17.78,18.0,872.4,0.0,19.7,2.33,33.9,826.1,0,0,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=26, tm_hour=4, tm_min=26, tm_sec=52, tm_wday=3, tm_yday=146, tm_isdst=-1)",2022-05-26,2022,5,146,26,26,4,TRX01,Good,< 12.00,2.00 - 4.00
2022-05-26 04:27:52,40.723293,-111.921844,1291.5,13.51,25.07,23.54,19.79,3.0,2.0,17.72,18.0,872.4,0.0,22.3,2.35,33.8,826.1,0,0,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=26, tm_hour=4, tm_min=27, tm_sec=52, tm_wday=3, tm_yday=146, tm_isdst=-1)",2022-05-26,2022,5,146,26,27,4,TRX01,Good,< 12.00,2.00 - 4.00
2022-05-26 04:28:52,40.723289,-111.921844,1291.6,13.5,25.04,24.63,19.72,2.0,2.0,17.61,18.0,872.5,0.0,21.1,2.33,33.8,826.0,0,0,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=26, tm_hour=4, tm_min=28, tm_sec=52, tm_wday=3, tm_yday=146, tm_isdst=-1)",2022-05-26,2022,5,146,26,28,4,TRX01,Good,< 12.00,2.00 - 4.00
2022-05-26 04:29:52,40.723293,-111.921844,1291.5,13.5,24.98,23.61,19.49,2.0,2.0,17.39,19.0,872.5,0.0,28.0,2.33,33.8,826.1,0,0,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=26, tm_hour=4, tm_min=29, tm_sec=52, tm_wday=3, tm_yday=146, tm_isdst=-1)",2022-05-26,2022,5,146,26,29,4,TRX01,Good,< 12.00,2.00 - 4.00
2022-05-26 04:30:52,40.723293,-111.921844,1291.6,13.5,24.95,22.76,19.35,2.0,2.0,17.28,18.0,872.4,0.0,28.7,2.34,33.8,826.1,0,0,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=26, tm_hour=4, tm_min=30, tm_sec=52, tm_wday=3, tm_yday=146, tm_isdst=-1)",2022-05-26,2022,5,146,26,30,4,TRX01,Good,< 12.00,2.00 - 4.00
2022-05-26 04:31:52,40.723293,-111.921837,1291.6,13.5,24.92,24.05,19.49,2.0,2.0,17.11,19.0,872.5,0.0,22.1,2.35,33.7,826.1,0,0,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=26, tm_hour=4, tm_min=31, tm_sec=52, tm_wday=3, tm_yday=146, tm_isdst=-1)",2022-05-26,2022,5,146,26,31,4,TRX01,Good,< 12.00,2.00 - 4.00
2022-05-26 04:32:52,40.723293,-111.921837,1291.5,13.5,24.89,22.66,19.25,2.0,2.0,17.11,18.0,872.6,0.0,26.5,2.33,33.7,826.1,0,0,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=26, tm_hour=4, tm_min=32, tm_sec=52, tm_wday=3, tm_yday=146, tm_isdst=-1)",2022-05-26,2022,5,146,26,32,4,TRX01,Good,< 12.00,2.00 - 4.00
2022-05-26 04:33:52,40.723293,-111.921837,1291.4,13.5,24.84,23.34,19.18,1.0,2.0,17.11,18.0,872.5,0.0,24.8,2.34,33.7,826.1,0,0,"time.struct_time(tm_year=2022, tm_mon=5, tm_mday=26, tm_hour=4, tm_min=33, tm_sec=52, tm_wday=3, tm_yday=146, tm_isdst=-1)",2022-05-26,2022,5,146,26,33,4,TRX01,Good,< 12.00,< 2.00
